Your java executable at /usr/bin/java seems suitable
OS is linux
Detected memory: 2000
Starting Freenet 0.7...
STATUS | wrapper  | 2018/09/26 09:14:18 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2018/09/26 09:14:18 | Java Service Wrapper Community Edition 64-bit 3.5.20
STATUS | wrapper  | 2018/09/26 09:14:18 |   Copyright (C) 1999-2013 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2018/09/26 09:14:18 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2018/09/26 09:14:18 | 
STATUS | wrapper  | 2018/09/26 09:14:19 | Launching a JVM...
INFO   | jvm 1    | 2018/09/26 09:14:19 | BouncyCastle: BC version 1.54
INFO   | jvm 1    | 2018/09/26 09:14:19 | SunPKCS11-NSS: null
INFO   | jvm 1    | 2018/09/26 09:14:19 | SUN: SUN version 1.8
INFO   | jvm 1    | 2018/09/26 09:14:19 | SunJCE: SunJCE version 1.8
INFO   | jvm 1    | 2018/09/26 09:14:20 | WrapperManager: Initializing...
INFO   | jvm 1    | 2018/09/26 09:14:20 | freenet.jar built with freenet-ext.jar Build #29 rv29 running with ext build 29 rv29
INFO   | jvm 1    | 2018/09/26 09:14:20 | Creating config from freenet.ini
INFO   | jvm 1    | 2018/09/26 09:14:20 | Creating logger...
INFO   | jvm 1    | 2018/09/26 09:14:20 | Set interval to 10 and multiplier to 1
INFO   | jvm 1    | 2018/09/26 09:14:20 |   Starting executor...
INFO   | jvm 1    | 2018/09/26 09:14:20 | Finding old log files. New log file is /home/tester/origin_freenet/logs/freenet-1480-2018-09-26-09.log.gz
INFO   | jvm 1    | 2018/09/26 09:14:20 | Created log files
INFO   | jvm 1    | 2018/09/26 09:14:20 | Attempting to load the NativeThread library [jar:file:/home/tester/origin_freenet/freenet-ext.jar!/freenet/support/io/libNativeThread-amd64.so]
INFO   | jvm 1    | 2018/09/26 09:14:20 | Using the NativeThread implementation (base nice level is 10)
INFO   | jvm 1    | 2018/09/26 09:14:20 | Initializing Node using Freenet Build #1480 rbuild01480 and freenet-ext Build #29 rv29 with Oracle Corporation JVM version 1.8.0_171 running on amd64 Linux 4.4.0-62-generic
INFO   | jvm 1    | 2018/09/26 09:14:20 | Set fproxy max length to 2306867 and max length with progress to 57671680 = 57671680
INFO   | jvm 1    | 2018/09/26 09:14:20 | Starting FProxy on 127.0.0.1,0:0:0:0:0:0:0:1:8889
INFO   | jvm 1    | 2018/09/26 09:14:20 | SHA1: using SUN version 1.8
INFO   | jvm 1    | 2018/09/26 09:14:20 | MD5: using SUN version 1.8
INFO   | jvm 1    | 2018/09/26 09:14:20 | SHA-256: using SUN version 1.8
INFO   | jvm 1    | 2018/09/26 09:14:20 | SHA-384: using SUN version 1.8
INFO   | jvm 1    | 2018/09/26 09:14:20 | SHA-512: using SUN version 1.8
INFO   | jvm 1    | 2018/09/26 09:14:21 | AES/CTR/NOPADDING (SunJCE version 1.8): 755577ns
INFO   | jvm 1    | 2018/09/26 09:14:21 | AES/CTR/NOPADDING (BC version 1.54): 1675192ns
INFO   | jvm 1    | 2018/09/26 09:14:21 | Using JCA cipher provider: SunJCE version 1.8
INFO   | jvm 1    | 2018/09/26 09:14:21 | Trying to read master keys file...
INFO   | jvm 1    | 2018/09/26 09:14:21 | Creating new master keys file
INFO   | jvm 1    | 2018/09/26 09:14:21 | FNP port created on 0.0.0.0:41312
INFO   | jvm 1    | 2018/09/26 09:14:21 | Testnet mode DISABLED. You may have some level of anonymity. :)
INFO   | jvm 1    | 2018/09/26 09:14:21 | Note that this version of Freenet is still a very early alpha, and may well have numerous bugs and design flaws.
INFO   | jvm 1    | 2018/09/26 09:14:21 | In particular: YOU ARE WIDE OPEN TO YOUR IMMEDIATE PEERS! They can eavesdrop on your requests with relatively little difficulty at present (correlation attacks etc).
INFO   | jvm 1    | 2018/09/26 09:14:21 | Trying to read node file backup ...
INFO   | jvm 1    | 2018/09/26 09:14:21 | Creating new cryptographic keys...
INFO   | jvm 1    | 2018/09/26 09:14:21 | Creating PeerManager
INFO   | jvm 1    | 2018/09/26 09:14:21 | Memory is 247MB
INFO   | jvm 1    | 2018/09/26 09:14:21 | Setting standard 500 thread limit. This should be enough for most nodes but more memory is usually a good thing.
INFO   | jvm 1    | 2018/09/26 09:14:21 | Deleted 0 of 0 temporary files (0 non-temp files in temp directory) in 0s
INFO   | jvm 1    | 2018/09/26 09:14:21 | Starting request persistence layer without resuming ...
INFO   | jvm 1    | 2018/09/26 09:14:21 | Initializing USK Manager
INFO   | jvm 1    | 2018/09/26 09:14:21 | Loading cache of request statuses...
INFO   | jvm 1    | 2018/09/26 09:14:21 | Initializing Node Updater
INFO   | jvm 1    | 2018/09/26 09:14:21 | Max packet size: 1232
INFO   | jvm 1    | 2018/09/26 09:14:21 | Initializing Plugin Manager
INFO   | jvm 1    | 2018/09/26 09:14:22 | Node constructor completed
INFO   | jvm 1    | 2018/09/26 09:14:22 | No darknet peers file found.
INFO   | jvm 1    | 2018/09/26 09:14:22 | Starting DNSRequester
INFO   | jvm 1    | 2018/09/26 09:14:22 | Created uptime estimator, time offset is 7380 uptime at startup is 0.00
INFO   | jvm 1    | 2018/09/26 09:14:22 | Starting PacketSender
INFO   | jvm 1    | 2018/09/26 09:14:22 | Starting Ticker
INFO   | jvm 1    | 2018/09/26 09:14:22 | Using wrapper correctly: freenet.node.NodeStarter@43090570
INFO   | jvm 1    | 2018/09/26 09:14:22 | Freenet 0.7.5 Build #1480 rbuild01480
INFO   | jvm 1    | 2018/09/26 09:14:22 | FNP port is on 0.0.0.0:41312
INFO   | jvm 1    | 2018/09/26 09:14:22 | Multi-file replace: Nothing to do for wrapper-update-unix.
INFO   | jvm 1    | 2018/09/26 09:14:22 | Will serve bcprov-jdk15on-154.jar for UOM
INFO   | jvm 1    | 2018/09/26 09:14:22 | Will serve freenet-ext.jar for UOM
INFO   | jvm 1    | 2018/09/26 09:14:22 | Starting FCP server on 127.0.0.1,0:0:0:0:0:0:0:1:9481.
INFO   | jvm 1    | 2018/09/26 09:14:22 | Extra peer data reading and processing completed
INFO   | jvm 1    | 2018/09/26 09:14:22 | Node initialization completed.
INFO   | jvm 1    | 2018/09/26 09:14:22 | Loading official plugin Library
INFO   | jvm 1    | 2018/09/26 09:14:22 | Loading official plugin ThawIndexBrowser
INFO   | jvm 1    | 2018/09/26 09:14:22 | Started plugin update fetcher for ThawIndexBrowser
INFO   | jvm 1    | 2018/09/26 09:14:22 | Loading official plugin KeyUtils
INFO   | jvm 1    | 2018/09/26 09:14:22 | No config file found, creating new: ./plugin-plugins.KeyUtils.KeyUtilsPlugin.ini
INFO   | jvm 1    | 2018/09/26 09:14:22 | Securely deleting plugin-data/plugins.Library.Main.data.bak.crypt which is of length 1056 bytes...
INFO   | jvm 1    | 2018/09/26 09:14:22 | Started plugin update fetcher for KeyUtils
INFO   | jvm 1    | 2018/09/26 09:14:22 | Securely deleting plugin-data/plugins.Library.Main.data.bak.crypt which is of length 1056 bytes...
INFO   | jvm 1    | 2018/09/26 09:14:22 | Securely deleting plugin-data/plugins.Library.Main.data.bak.crypt which is of length 1056 bytes...
INFO   | jvm 1    | 2018/09/26 09:14:22 | Securely deleting plugin-data/plugins.Library.Main.data.bak.crypt which is of length 1056 bytes...
INFO   | jvm 1    | 2018/09/26 09:14:22 | Securely deleting plugin-data/plugins.Library.Main.data.bak.crypt which is of length 2080 bytes...
